pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url	category
2026-06-01	OBELISK: Efficient Offline Query Planning with Bayesian Optimization-Informed Language Model Reasoning	<i>Proceedings of the VLDB Endowment</i> (<strong>PVLDB</strong>)		<strong>Z Pan</strong>, W Sun, Y Zhang, T Purcell, Y Dong, C Yang, R Zhang, X Zhou, J Xu. <i>OBELISK: Efficient Offline Query Planning with Bayesian Optimization-Informed Language Model Reasoning</i>. <i>Proceedings of the VLDB Endowment</i> (<strong>PVLDB</strong>), 2026.	obelisk-efficient-offline-query-planning			first_author
2025-05-01	Hyper: Hybrid Physical Design Advisor with Multi-agent Reinforcement Learning	<i>IEEE International Conference on Data Engineering</i> (<strong>ICDE</strong>)		<strong>Z Pan</strong>, Y Zhang, C Yang, A Ghazal, R Zhang, H Hu, X Wu, Y Dong, X Zhou. <i>Hyper: Hybrid Physical Design Advisor with Multi-agent Reinforcement Learning</i>. <i>IEEE International Conference on Data Engineering</i> (<strong>ICDE</strong>), 2025.	hyper-hybrid-physical-design-advisor			first_author
2023-08-01	MagicScaler: Uncertainty-aware, Predictive Autoscaling	<i>Proceedings of the VLDB Endowment</i> (<strong>PVLDB</strong>)		<strong>Z Pan</strong>, Y Wang, Y Zhang, SB Yang, Y Cheng, P Chen, C Guo, Q Wen, X Tian, Y Dou, Z Zhou, C Yang, A Zhou, B Yang. <i>MagicScaler: Uncertainty-aware, Predictive Autoscaling</i>. <i>Proceedings of the VLDB Endowment</i> (<strong>PVLDB</strong>), 2023.	magicscaler-uncertainty-aware-predictive-autoscaling			first_author
2023-04-01	Garden: A Real-time Processing Framework for Continuous Top-k Trajectory Similarity Search	<i>Knowledge and Information Systems</i> (<strong>KAIS</strong>)		<strong>Z Pan</strong>, J Fang, P Chao, W Chen, J Xu, L Zhao. <i>Garden: A Real-time Processing Framework for Continuous Top-k Trajectory Similarity Search</i>. <i>Knowledge and Information Systems</i> (<strong>KAIS</strong>), 2023.	garden-realtime-topk-trajectory-similarity-search			first_author
2020-10-01	TraSP: A General Framework for Online Trajectory Similarity Processing	<i>International Conference on Web Information Systems Engineering</i> (<strong>WISE</strong>)		<strong>Z Pan</strong>, P Chao, J Fang, W Chen, Z Li, A Liu. <i>TraSP: A General Framework for Online Trajectory Similarity Processing</i>. <i>International Conference on Web Information Systems Engineering</i> (<strong>WISE</strong>).	trasp-online-trajectory-similarity-processing			first_author
2026-05-01	Vodka: Rethink Benchmarking Philosophy in HTAP Systems	<i>Proceedings of the VLDB Endowment</i> (<strong>PVLDB</strong>)		Z Hu, S Weng, <strong>Z Pan</strong>, R Zhang, C Yang, P Cai, X Zhou, Q Xu, C Yang. <i>Vodka: Rethink Benchmarking Philosophy in HTAP Systems</i>. <i>Proceedings of the VLDB Endowment</i> (<strong>PVLDB</strong>), 2026.	vodka-htap-benchmarking-philosophy			coauthored
2026-04-01	Pisco: An Isolation Bug Case Reduction and Deduplication Framework	<i>Proceedings of the VLDB Endowment</i> (<strong>PVLDB</strong>)		S Weng, H Yang, Z Hu, R Zhang, <strong>Z Pan</strong>, C Yang, X Zhou, Y Chen, X He, A Pan. <i>Pisco: An Isolation Bug Case Reduction and Deduplication Framework</i>. <i>Proceedings of the VLDB Endowment</i> (<strong>PVLDB</strong>), 2026.	pisco-isolation-bug-case-reduction-deduplication			coauthored
2026-03-01	BOND: A Co-Designed Framework for LLM-Powered Analytics Over Relational Data	<i>IEEE International Conference on Data Engineering</i> (<strong>ICDE</strong>)		L Chen<sup>#</sup>, Q Zheng<sup>#</sup>, <strong>Z Pan</strong><sup>#</sup>, C Yang, R Zhang, X Zhou. <i>BOND: A Co-Designed Framework for LLM-Powered Analytics Over Relational Data</i>. <i>IEEE International Conference on Data Engineering</i> (<strong>ICDE</strong>), 2026.	bond-llm-powered-analytics-relational-data			coauthored
2026-02-01	APEX: Adaptive Variable-wise Parallel Execution for Worst-Case Optimal Joins on Graph Queries	<i>IEEE International Conference on Data Engineering</i> (<strong>ICDE</strong>)		Y Liu, Y Lin, <strong>Z Pan</strong>, C Yang, Y Li, A Zhou. <i>APEX: Adaptive Variable-wise Parallel Execution for Worst-Case Optimal Joins on Graph Queries</i>. <i>IEEE International Conference on Data Engineering</i> (<strong>ICDE</strong>), 2026.	apex-adaptive-variable-wise-parallel-execution			coauthored
2026-01-01	Q-Doctor: Retrieval-Augmented Diagnosis and Multi-Agent Correction for Query Performance Anomalies	<i>International Conference on Database Systems for Advanced Applications</i> (<strong>DASFAA</strong>)		Y Han, <strong>Z Pan</strong><sup>*</sup>, L Chen, C Yang, R Zhang, X Zhou. <i>Q-Doctor: Retrieval-Augmented Diagnosis and Multi-Agent Correction for Query Performance Anomalies</i>. <i>International Conference on Database Systems for Advanced Applications</i> (<strong>DASFAA</strong>), 2026.	q-doctor-query-performance-anomalies			coauthored
